№,id,Link ru,Link uz - lotincha,,Xizmat nomi - ru,Xizmat nomi - uz,Muxlisa text - RU,Muxlisa text - UZ
209,397,https://my3.gov.uz/ru/service/397,https://my3.gov.uz/uz/service/397,https://my3.gov.uz/y3/service/397,"Получение справки о перемене фамилии, имени, отчества (в ускоренном порядке)","Фамилия, исм, ота исмини ўзгартирганлик ҳақида маълумотномани олиш (тезлаштирилган тартибда)","Эта государственная услуга обеспечивает юридическую ясность и признание изменения фамилии, имени или отчествах в соответствии с законодательством. Получение справки о перемене фамилии, имени или отчества может быть необходимо в случае изменений в семейном статусе или по другим основаниям, и она помогает обеспечить актуальность и правовую важность изменения фамилии, имени или отчества.","Mazkur davlat xizmati qonun hujjatlariga muvofiq familiyasi, ismi yoki otasining ismi o‘zgarganligini huquqiy ravshanlik va tan olishni taʼminlaydi. Familiya, ism yoki otasining ismini o‘zgartirish to‘g‘risidagi guvohnomani olish fuqaroning oilaviy ahvoli o‘zgarganda yoki boshqa sabablarga ko‘ra zarur bo‘lishi mumkin va bu familiya, ism yoki otasining ismini o‘zgartirishning dolzarbligi va huquqiy ahamiyatini taʼminlashga yordam beradi."
210,396,https://my3.gov.uz/ru/service/396,https://my3.gov.uz/uz/service/396,https://my3.gov.uz/y3/service/396,"Получение справки о заключении брака, не состоянии в браке или о разводе (в ускоренном порядке)","Никоҳ қайд этилганлиги, никоҳда турмаслиги ёки никоҳдан ажралганлиги тўғрисидаги маълумотномани олиш (тезлаштирилган тартибда)","Эта государственная услуга обеспечивает юридическую ясность и признание семейного статуса граждан в соответствии с законодательством. Получение справки о своем семейном статусе может быть необходимо при заключении и разводе брака, а также для других юридических и административных целей.","Ushbu davlat xizmati huquqiy ravshanlik va fuqarolarning oilaviy ahvolini qonun hujjatlariga muvofiq tan olishni ta‘minlaydi. Oilaviy ahvolingiz to‘g‘risidagi guvohnomani olish nikohga kirishda yoki ajralishda, shuningdek, boshqa qonuniy va maʼmuriy maqsadlarda zarur bo‘lishi mumkin."
211,395,https://my3.gov.uz/ru/service/395,https://my3.gov.uz/uz/service/395,https://my3.gov.uz/y3/service/395,Переоформление квалификационного сертификата риэлтора,Риэлторларнинг малака сертификатини қайта расмийлаштириш,"Переоформление квалификационного сертификата риэлтора может потребоваться в случае изменений в законодательстве, профессиональных стандартах или личных данных риэлтора. Эта услуга обеспечивает актуальность информации в квалификационных сертификатах и соответствие требованиям в сфере недвижимости.
","Riyeltorlik malaka sertifikatini qayta rasmiylashtirish qonun hujjatlariga, kasbiy standartlarga yoki riyeltorning shaxsiy maʼlumotlariga o‘zgartishlar kiritilgan taqdirda talab qilinishi mumkin. Ushbu xizmat malaka sertifikatlarining yangilanganligini va ko‘chmas mulk qoidalariga muvofiqligini ta‘minlaydi."
212,394,https://my3.gov.uz/ru/service/394,https://my3.gov.uz/uz/service/394,https://my3.gov.uz/y3/service/394,Электронный платеж,Электрон тўлов,Совершайте электронные платежи с помощью данной услуги.,"Mazkur xizmatdan foydalanib, elektron to‘lovlarni amalga oshiring."
213,393,https://my3.gov.uz/ru/service/393,https://my3.gov.uz/uz/service/393,https://my3.gov.uz/y3/service/393,Получение гидрогеологического заключения,Гидрогеологик хулоса олиш,"Гидрогеологическое заключение является важным инструментом для обеспечения безопасности и устойчивости строительных проектов и оценки потенциальных воздействий на водные ресурсы и окружающую среду. Получение такого заключения обязательно во многих случаях, когда речь идет о использовании недр и земель для различных целей.




","Gidrogeologik xulosa qurilish loyihalari xavfsizligi va barqarorligini ta‘minlash, suv resurslari va atrof-muhitga mumkin bo‘lgan ta‘sirlarni baholash uchun muhim vositadir. Bunday xulosani olish ko‘p hollarda yer osti boyliklari va yerdan turli maqsadlarda foydalanish uchun majburiydir."
214,389,https://my3.gov.uz/ru/service/389,https://my3.gov.uz/uz/service/389,https://my3.gov.uz/y3/service/389,Подача уведомления на исправление зарегистрированных лиц по месту постоянного жительства,Доимий яшаш жойида яшовчилар рўйхатини тўғрилатиш учун сўров юбориш,С помочью данной услугой вы можете подать уведомления на исправление зарегистрированных лиц по месту постоянного жительства,"Doimiy yashash joyida yashovchilar ro‘yxatida xatolik bor bo‘lsa, Doimiy yashash joyida yashovchilar ro‘yxatini to‘g‘rilatish uchun so‘rov yuboring. Arizalar 3 ish kuni mobaynida O‘zbekiston Respublikasi Ichki ishlar vazirligi tomonidan ko‘rib chiqiladi."
215,385,https://my3.gov.uz/ru/service/385,https://my3.gov.uz/uz/service/385,https://my3.gov.uz/y3/service/385,Проведение квалификационных экзаменов риэлторов для продления квалификационного сертификата,Малака сертификати муддатини узайтириш учун риэлторларнинг малака имтиҳонини ўтказиш,Продление квалификационного сертификата подтверждает соответствие риэлтора требованиям профессиональной деятельности.,Malaka sertifikatining yangilanishi rieltorning kasbiy faoliyat talablariga muvofiqligini tasdiqlaydi.
216,384,https://my3.gov.uz/ru/service/384,https://my3.gov.uz/uz/service/384,https://my3.gov.uz/y3/service/384,Проведение квалификационных экзаменов оценщиков для продления квалификационного сертификата,Малака сертификати муддатини узайтириш учун баҳоловчиларнинг малака имтиҳонини ўтказиш,Продление квалификационного сертификата подтверждает способность оценщика обеспечивать точные и надежные оценки для клиентов,Malaka sertifikatining yangilanishi baholovchining mijozlarga aniq va ishonchli baho berish qobiliyatini tasdiqlaydi.
217,381,https://my3.gov.uz/ru/service/381,https://my3.gov.uz/uz/service/381,https://my3.gov.uz/y3/service/381,Проведение квалификационных экзаменов риэлторов и выдача им квалификационного сертификата,Риэлторларнинг малака имтиҳонини ўтказиш ва уларга малака сертификатини бериш,Получение квалификационного сертификата риэлтора помогает гражданам уверенно работать с квалифицированными специалистами в области недвижимости.,Rieltorlik malaka sertifikatini olish fuqarolarga rieltorlik bo‘yicha malakali mutaxassislar bilan ishonchli ishlashda yordam beradi.
218,380,https://my3.gov.uz/ru/service/380,https://my3.gov.uz/uz/service/380,https://my3.gov.uz/y3/service/380,Проведение квалификационных экзаменов оценщиков и выдача им квалификационного сертификата,Баҳоловчиларнинг малака имтиҳонини ўтказиш ва уларга малака сертификатини бериш,Получение квалификационного сертификата оценщика помогает гражданам уверенно работать с квалифицированными специалистами в области оценки.,Malakali baholovchi sertifikatini olish fuqarolarga malakali baholovchi mutaxassislar bilan ishonchli ishlashda yordam beradi.
219,378,https://my3.gov.uz/ru/service/378,https://my3.gov.uz/uz/service/378,https://my3.gov.uz/y3/service/378,Подача заявления на замену паспорта на ID карту,Паспортни ID картага алмаштириш учун ариза юбориш,ID карты обычно обладают высокой степенью защиты от мошенничества и могут использоваться для более удобной и безопасной идентификации в различных сферах жизни.,ID kartalar odatda firibgarlikdan yuqori darajadagi himoyaga ega va hayotning turli sohalarida qulayroq va xavfsiz identifikatsiya qilish uchun ishlatilishi mumkin.
220,377,https://my3.gov.uz/ru/service/377,https://my3.gov.uz/uz/service/377,https://my3.gov.uz/y3/service/377,Подача заявления на принятие гражданства Республики Узбекистан,Ўзбекистон Республикаси фуқаролигига қабул қилиш учун ариза,"Эта государственная услуга позволяет иностранным гражданам, желающим стать частью общества Республики Узбекистан, получить официальное гражданство страны. Натурализация способствует разнообразию культур и опыта в стране и может быть важным шагом для интеграции в общество и участия в гражданской жизни.
",Ushbu davlat xizmati O‘zbekiston Respublikasi jamiyatiga a’zo bo‘lishni xohlovchi xorijiy fuqarolarga mamlakatning rasmiy fuqaroligini olish imkonini beradi. 
221,376,https://my3.gov.uz/ru/service/376,https://my3.gov.uz/uz/service/376,https://my3.gov.uz/y3/service/376,Постановка на учет в налоговые органы договоров по аренде недвижимых имуществ,Кўчмас мулк ижара шартномаларини солиқ органларида ҳисобга қўйиш,"Эта государственная услуга обеспечивает прозрачность и контроль над арендными сделками с недвижимостью, а также помогает налоговым органам собирать налоги, связанные с арендой. Учет договоров аренды также способствует соблюдению законодательства и налоговых обязательств в сфере недвижимости.","Ushbu davlat xizmati ko‘chmas mulk ijarasi bo‘yicha xizmatlarning shaffofligi va nazoratini taʼminlaydi, shuningdek, soliq organlariga ijara bilan bog‘liq soliqlarni undirishda yordam beradi. Ijara shartnomalarini ro‘yxatdan o‘tkazish, shuningdek, ko‘chmas mulk qonunlari va soliq majburiyatlariga rioya qilishni taʼminlashga yordam beradi."
222,375,https://my3.gov.uz/ru/service/375,https://my3.gov.uz/uz/service/375,https://my3.gov.uz/y3/service/375,Выход из гражданства Республики Узбекистан,Ўзбекистон Республикаси фуқаролигидан чиқиш учун ариза юбориш,"Важно отметить, что процедура выхода из гражданства может иметь юридические и налоговые последствия, и граждане, желающие выйти из гражданства, должны быть готовы к соответствующим обязательствам в стране, в которой они становятся гражданами. ","Shuni ta'kidlash kerakki, fuqarolikdan chiqish jarayoni huquqiy va soliqqa oid oqibatlarga olib kelishi mumkin va fuqarolikdan chiqishni xohlovchi fuqarolar o'zlari fuqaro bo'lgan mamlakatda tegishli majburiyatlarga tayyor bo'lishlari kerak."
223,373,https://my3.gov.uz/ru/service/373,https://my3.gov.uz/uz/service/373,https://my3.gov.uz/y3/service/373,Запись на приём к врачу,Шифокор қабулига ёзилиш,"Воспользовавшись услугой, вы можете записаться на прием к выбранному вами врачу.","Xizmatdan foydalanib, o‘zingiz tanlagan shifokor qabuliga yozilishingiz mumkin."
224,372,https://my3.gov.uz/ru/service/372,https://my3.gov.uz/uz/service/372,https://my3.gov.uz/y3/service/372,Получение справки о зарегистрированных лицах по постоянному месту жительства,Доимий яшаш жойида рўйхатдан ўтиб яшовчилар тўғрисида маълумотнома олиш,"Справка может быть полезной для разных гражданских и административных процедур, а также для подтверждения факта проживания в определенном месте.","Maʼlumotnoma turli fuqarolik va maʼmuriy jarayonlar uchun, shuningdek, maʼlum bir joyda yashash faktini tasdiqlash uchun foydali bo‘lishi mumkin."
225,369,https://my3.gov.uz/ru/service/369,https://my3.gov.uz/uz/service/369,https://my3.gov.uz/y3/service/369,"Получение архивной справки, подтверждающей высшее и среднее специальное образование",Олий ва ўрта махсус таълим муассасасида ўқиганликни тасдиқлаш ҳақидаги архив маълумотномасини олиш,"Архивная справка может быть важным документом при поступлении в учебные заведения, трудоустройстве и других ситуациях, где требуется документальное подтверждение образования.","Arxiv maʼlumotnomasi taʼlim muassasalariga murojaat qilishda, ishga joylashishda va taʼlimning hujjatli dalillari talab qilinadigan boshqa holatlarda muhim hujjat bo‘lishi mumkin."
226,367,https://my3.gov.uz/ru/service/367,https://my3.gov.uz/uz/service/367,https://my3.gov.uz/y3/service/367,Информация по месту постоянного жительства,Доимий яшаш жойи бўйича маълумот,"Информация о месте постоянного жительства может быть важной для различных административных и юридических процедур, а также для подтверждения факта проживания в определенном месте.","Doimiy yashash joyi to‘g‘risidagi maʼlumotlar turli maʼmuriy va huquqiy tartib-qoidalar uchun, shuningdek, maʼlum bir joyda yashash faktini tasdiqlash uchun muhim bo‘lishi mumkin."
227,366,https://my3.gov.uz/ru/service/366,https://my3.gov.uz/uz/service/366,https://my3.gov.uz/y3/service/366,Получение сертификата резидентства Республики Узбекистан,Ўзбекистон Республикаси резиденти сертификатини олиш,Сертификат резидентства может иметь важное значение для получения различных льгот и прав в стране.,Yashash joyi to‘g‘risidagi guvohnoma mamlakatda turli imtiyozlar va huquqlarni olish uchun muhim bo‘lishi mumkin.
228,363,https://my3.gov.uz/ru/service/363,https://my3.gov.uz/uz/service/363,https://my3.gov.uz/y3/service/363,Подача заявления на регистрацию по месту постоянного проживания,Яшаш жойига доимий рўйхатга туриш учун ариза юбориш,"Регистрация по месту постоянного проживания является важным аспектом гражданских и административных отношений и обеспечивает фиксацию места проживания гражданина в официальных документах. Это может иметь значение при оформлении различных документов и получении государственных услуг.




","Doimiy yashash joyi bo‘yicha ro‘yxatga olish fuqarolik va maʼmuriy munosabatlarning muhim jihati bo‘lib, fuqaroning yashash joyining rasmiy hujjatlarda qayd etilishini ta‘minlaydi. Bu turli hujjatlarni qayta ishlash va davlat xizmatlarini olishda muhim bo‘lishi mumkin."
229,357,https://my3.gov.uz/ru/service/357,https://my3.gov.uz/uz/service/357,https://my3.gov.uz/y3/service/357,Получение ЭЦП для физических лиц,Жисмоний шахслар учун электрон рақамли имзо олиш,"Электронная Цифровая Подпись представляет собой важный инструмент в современных цифровых взаимодействиях. Она используется для безопасной и аутентифицированной подписи электронных документов и транзакций, обеспечивая их целостность и подлинность.","Elektron raqamli imzo zamonaviy raqamli o'zaro aloqalarda muhim vositadir. U elektron hujjatlar va operatsiyalarni ishonchli va haqiqiy imzolash, ularning yaxlitligi va haqiqiyligini ta'minlash uchun ishlatiladi."
230,355,https://my3.gov.uz/ru/service/355,https://my3.gov.uz/uz/service/355,https://my3.gov.uz/y3/service/355,Выдача предварительного согласия на совершение сделок по приобретению акций (долей) в уставном фонде (уставном капитале) хозяйствующих субъектов,Хўжалик юритувчи субъектнинг устав фондидаги (устав капиталидаги) акцияларни (улушларни) олиш бўйича битимларга олдиндан розилик,"Услуга направлена на обеспечение контроля и регулирования сделок по приобретению акций в уставном фонде хозяйствующих субъектов в соответствии с законодательством и нормами, регулирующими корпоративные отношения и рынок ценных бумаг.",Xizmat korporativ munosabatlarni va qimmatli qog‘ozlar bozorini tartibga soluvchi qonunlar va me’yoriy hujjatlarga muvofiq xo‘jalik yurituvchi subyektlarning ustav kapitalidagi ulushlarni sotib olish bo‘yicha operatsiyalarni nazorat qilish va tartibga solishni ta’minlashga qaratilgan.
231,354,https://my3.gov.uz/ru/service/354,https://my3.gov.uz/uz/service/354,https://my3.gov.uz/y3/service/354,Выдача предварительного согласия на сделки по слиянию и присоединению хозяйствующих субъектов,Хўжалик юритувчи субъектларни қўшиб юбориш ва қўшиб олишга доир битимларга олдиндан розилик бериш,"Данная государственная услуга направлена на регулирование сделок по слиянию и присоединению хозяйствующих субъектов в соответствии с законодательством и нормами, регулирующими корпоративные отношения и рынок ценных бумаг.",Mazkur davlat xizmati korporativ munosabatlarni va qimmatli qog‘ozlar bozorini tartibga soluvchi qonunlar va me’yoriy hujjatlarga muvofiq tadbirkorlik sub’ektlarining qo‘shilishi va qo‘shilib ketishini tartibga solishga qaratilgan.
232,353,https://my3.gov.uz/ru/service/353,https://my3.gov.uz/uz/service/353,https://my3.gov.uz/y3/service/353,Подача заявления на присвоение первой и второй категории инструктор-методист,Спорт-таълим муассасаларининг йўриқчи-услубчиси учун биринчи ёки иккинчи малака тоифасини олишга ариза юбориш,"Предоставляемая услуга направлена на возможность инструкторов-методистов получить статус инструктора первой или второй категории в соответствии с установленными нормами и требованиями. Инструкторы-методисты играют важную роль в образовательной системе и других областях, где требуется профессиональное обучение и методическая поддержка.",Taqdim etilayotgan xizmat yo`riqchi-uslubchilarga belgilangan standartlar va talablarga muvofiq birinchi yoki ikkinchi toifali malaka toifasini olish imkonini berishga qaratilgan. Yo`riqchi-uslubchilar ta'lim tizimida va kasbiy tayyorgarlik va uslubiy yordam talab qilinadigan boshqa sohalarda muhim rol o'ynaydi.
233,352,https://my3.gov.uz/ru/service/352,https://my3.gov.uz/uz/service/352,https://my3.gov.uz/y3/service/352,Подача заявления на присвоение высшей квалификационной категории инструктор-методист,Спорт-таълим муассасаларининг йўриқчи-услубчиси учун олий малака тоифасини олишга ариза юбориш,"Данная государственная услуга предоставляется для инструкторов-методистов, которые стремятся получить высшую квалификационную категорию в соответствии с установленными стандартами и требованиями. Высшая категория подтверждает выдающиеся профессиональные навыки и опыт инструктора-методиста.",Ushbu davlat xizmati belgilangan standartlar va talablarga muvofiq eng yuqori malaka toifasini olishga intilayotgan yo`riqchi-uslubchilar uchun ko'rsatiladi. Yuqori toifa yo`riqchi-uslubchining ajoyib kasbiy mahorati va tajribasini tasdiqlaydi.
234,351,https://my3.gov.uz/ru/service/351,https://my3.gov.uz/uz/service/351,https://my3.gov.uz/y3/service/351,Подача заявления на присвоение первой или второй квалификационной категории тренер-преподаватель,Спорт-таълим муассасаларининг тренер-ўқитувчиси учун биринчи ёки иккинчи тоифаларини олишга ариза юбориш,"Услуга предоставляется для тренеров-преподавателей, желающих получить первую или вторую квалификационную категорию в соответствии с установленными стандартами и требованиями. Присвоение категории подтверждает высокий уровень профессионализма и квалификации тренера-преподавателя.",Xizmat belgilangan standartlar va talablarga muvofiq birinchi yoki ikkinchi malaka toifasini olishni xohlovchi trener va oʻqituvchilar uchun koʻrsatiladi. Toifaning berilishi murabbiy-o'qituvchining yuqori kasbiy mahorati va malakasini tasdiqlaydi.
235,350,https://my3.gov.uz/ru/service/350,https://my3.gov.uz/uz/service/350,https://my3.gov.uz/y3/service/350,Подача заявления на присвоение высшей квалификационной категории тренер-преподаватель,Спорт-таълим муассасаларининг тренер-ўқитувчиси учун олий малака тоифасини олишга ариза юбориш,Присвоение высшей квалификационной категории подтверждает выдающийся уровень профессионализма и квалификации тренера-преподавателя.,Yuqori malaka toifasining berilishi murabbiy-o'qituvchining kasbiy mahorati va malakasining yuqori darajasini tasdiqlaydi.
236,349,https://my3.gov.uz/ru/service/349,https://my3.gov.uz/uz/service/349,https://my3.gov.uz/y3/service/349,Подача заявления на согласование проектно-сметной документации,Лойиҳа-смета ҳужжатларини келишиш,Процедура согласования проектно-сметной документации является важным этапом в подготовке к строительству или реконструкции объектов. ,"Loyiha-smeta hujjatlarini tasdiqlash tartibi ob'ektlarni qurish yoki rekonstruksiya qilishga tayyorgarlik ko'rishning muhim bosqichidir.
"
237,345,https://my3.gov.uz/ru/service/345,https://my3.gov.uz/uz/service/345,https://my3.gov.uz/y3/service/345,Переоформление лицензии на осуществление деятельности магазина беспошлинной торговли,Бож олинмайдиган савдо дўкони фаолияти учун лицензияни қайта расмийлаштириш,"Магазины беспошлинной торговли часто подвергаются изменениям в своей деятельности, таким как изменение местоположения, вида торговли, ассортимента товаров и других параметров. Для того чтобы оперировать легально и соответствовать законодательным требованиям, магазины должны переоформить свою лицензию. ","Bojsiz savdo do‘konlari ko‘pincha o‘z faoliyatida, masalan, joylashuvi, savdo turi, mahsulot assortimenti va boshqa parametrlari o‘zgarishiga duchor bo‘ladi. Qonuniy faoliyat yuritish va qonuniy talablarga rioya qilish uchun do‘konlar litsenziyasini yangilashi kerak."
238,344,https://my3.gov.uz/ru/service/344,https://my3.gov.uz/uz/service/344,https://my3.gov.uz/y3/service/344,Получение новой лицензии на осуществление деятельности магазина беспошлинной торговли,Бож олинмайдиган савдо дўкони фаолияти учун янги лицензия олиш,"Уточните конкретные требования и процедуры для получения новой лицензии на осуществление деятельности магазина беспошлинной торговли в вашем регионе, так как они могут варьироваться в зависимости от местных законов и нормативных актов.","Hududingizdagi yangi bojsiz doʻkon litsenziyasini olish uchun maxsus talablar va tartiblarni tekshiring, chunki ular mahalliy qonunlar va qoidalarga qarab farq qilishi mumkin."
239,343,https://my3.gov.uz/ru/service/343,https://my3.gov.uz/uz/service/343,https://my3.gov.uz/y3/service/343,Переоформление лицензии на деятельность свободного склада,Эркин омбор фаолияти учун лицензияни қайта расмийлаштириш,"Деятельность свободных складов контролируется и регулируется государством, чтобы обеспечить безопасность и соблюдение нормативов в хранении и обработке товаров. ",Mahsulotlarni saqlashda xavfsizlik va standartlarga rioya etilishini ta'minlash maqsadida erkin omborlar faoliyati davlat tomonidan nazorat qilinadi va tartibga solinadi.
240,342,https://my3.gov.uz/ru/service/342,https://my3.gov.uz/uz/service/342,https://my3.gov.uz/y3/service/342,Сдача квалификационного экзамена по частной нотариальной деятельности,Хусусий нотариал фаолият бўйича малака имтиҳонини топшириш,"Услуга Сдача квалификационного экзамена по частной нотариальной деятельности предоставляется для лиц, желающих получить лицензию на занятие частной нотариальной деятельностью. Этот экзамен направлен на оценку знаний, профессиональных навыков и надежности будущих нотариусов.","Xususiy notarial faoliyat bilan shug‘ullanish uchun litsenziya olmoqchi bo‘lgan shaxslar uchun Xususiy notarial faoliyat bo‘yicha malaka imtihonini topshirish xizmati ko‘rsatiladi. Ushbu imtihon kelajakdagi notariuslarning bilimi, kasbiy mahorati va ishonchliligini baholashga qaratilgan."
241,341,https://my3.gov.uz/ru/service/341,https://my3.gov.uz/uz/service/341,https://my3.gov.uz/y3/service/341,"Получение протокола о выигрыше в электронных торгах, проведенных через торговую платформу «E-AUKSION»",“E-AUKSION” электрон савдо платформасида ғолиблик учун расмийлаштирилган баённомани олиш,"Протокол о выигрыше в электронных торгах важен для подтверждения успешного участия и выигрыша в торгах на платформе ""E-AUKSION"". Он также может использоваться для последующих юридических и финансовых операций, связанных с приобретенными товарами или услугами.","Elektron savdoda g‘alaba qozonish to‘g‘risidagi bayonnoma E-AUKSION platformasidagi savdoda muvaffaqiyatli ishtirok etish va g‘alaba qozonishni tasdiqlash uchun muhim ahamiyatga ega. Bundan tashqari, sotib olingan tovarlar yoki xizmatlar bilan bog'liq keyingi yuridik va moliyaviy operatsiyalar uchun ham foydalanish mumkin."
242,338,https://my3.gov.uz/ru/service/338,https://my3.gov.uz/uz/service/338,https://my3.gov.uz/y3/service/338,Получение справки о нахождении или об отсутствии на учете в наркологическом диспансере,Наркология бўйича диспансер ҳисобида туриши ёки турмаслиги тўғрисида маълумотнома олиш,"Справка о нахождении на учете в наркологическом диспансере является конфиденциальным документом и может быть предоставлена только заявителю или лицам, уполномоченным заявителем на получение этой информации.","Narkologiya dispanserida ro'yxatdan o'tganlik to'g'risidagi guvohnoma maxfiy hujjat bo'lib, faqat ariza beruvchiga yoki arizachi tomonidan ushbu ma'lumotlarni olishga vakolat berilgan shaxslarga taqdim etilishi mumkin."
243,334,https://my3.gov.uz/ru/service/334,https://my3.gov.uz/uz/service/334,https://my3.gov.uz/y3/service/334,Получение справки о нахождении или об отсутствии на учете в психоневрологическом диспансере,Руҳий касалликлар бўйича диспансер ҳисобида туриши ёки турмаслиги тўғрисида маълумотнома олиш,"Справка о нахождении на учете в психоневрологическом диспансере является конфиденциальным документом и может быть предоставлена только заявителю или лицам, уполномоченным заявителем на получение этой информации.

","Psixonevrologik dispanserda ro'yxatdan o'tganlik to'g'risidagi guvohnoma maxfiy hujjat bo'lib, faqat arizachiga yoki arizachi tomonidan ushbu ma'lumotlarni olishga vakolatli shaxslarga taqdim etilishi mumkin."
244,331,https://my3.gov.uz/ru/service/331,https://my3.gov.uz/uz/service/331,https://my3.gov.uz/y3/service/331,Получение новой лицензии на деятельность свободного склада,Эркин омбор фаолияти учун янги лицензия олиш,"Данная услуга предоставляется организациям или предпринимателям, которые планируют начать свою деятельность в сфере свободных складов. Лицензия на свободные склады необходима для законного и регулируемого проведения такой деятельности.",Ushbu xizmat erkin omborlar sohasida o'z faoliyatini boshlashni rejalashtirgan tashkilotlar yoki tadbirkorlarga taqdim etiladi. Bunday faoliyatni qonuniy va tartibga solinadigan tarzda amalga oshirish uchun bo'sh omborlar uchun litsenziya talab qilinadi.
245,330,https://my3.gov.uz/ru/service/330,https://my3.gov.uz/uz/service/330,https://my3.gov.uz/y3/service/330,Подача заявления на Государственную регистрацию изделий медицинского назначения,Тиббий буюмларни давлат рўйхатидан ўтказишга ариза юбориш,"Государственная регистрация изделий медицинского назначения важна для обеспечения безопасности и качества медицинской продукции, предлагаемой на рынке. Заявители должны строго соблюдать требования и процедуры, установленные законодательством и нормативами для регистрации медицинских изделий.",Tibbiy buyumlarni davlat ro‘yxatidan o‘tkazish bozorda sotilayotgan tibbiy mahsulotlar xavfsizligi va sifatini ta’minlashda muhim ahamiyatga ega. Ariza beruvchilar tibbiy buyumlarni ro‘yxatdan o‘tkazish bo‘yicha qonun hujjatlari va me’yoriy hujjatlarda belgilangan talab va tartiblarga qat’iy rioya etishlari shart.
246,329,https://my3.gov.uz/ru/service/329,https://my3.gov.uz/uz/service/329,https://my3.gov.uz/y3/service/329,Подача заявления на Государственную регистрацию лекарственного средства в Республике Узбекистан,Ўзбекистон Республикасида дори воситасини давлат рўйхатидан ўтказиш тўғрисида ариза бериш,"Государственная регистрация лекарственных средств важна для обеспечения безопасности и качества медицинских препаратов, предлагаемых на рынке. Заявители должны строго соблюдать требования и процедуры, установленные законодательством и нормативами для регистрации лекарственных средств.",Dori vositalarini davlat ro‘yxatidan o‘tkazish bozorda sotilayotgan dori vositalarining xavfsizligi va sifatini ta’minlashda muhim ahamiyatga ega. Ariza beruvchilar dori vositalarini ro‘yxatdan o‘tkazish bo‘yicha qonun hujjatlari va me’yoriy hujjatlarda belgilangan talab va tartiblarga qat’iy rioya etishlari shart.
247,327,https://my3.gov.uz/ru/service/327,https://my3.gov.uz/uz/service/327,https://my3.gov.uz/y3/service/327,"Обновление документа, обеспечивающего уплату таможенных платежей в связи с увеличением размера базового расчета и истечением срока действия",Базавий ҳисоблаш миқдори ошганда ҳамда амал қилиш муддати тугаши муносабати билан божхона тўловлари тўланишини таъминловчи ҳужжатни янгилаш,"Обновление документа, обеспечивающего уплату таможенных платежей, важно для обеспечения соответствия обязательствам перед таможенными органами в условиях изменяющихся стандартов и требований.",Bojxona to‘lovlari to‘lanishini ta’minlovchi hujjatning yangilanishi standartlar va talablarning o‘zgarishi sharoitida bojxona organlari oldidagi majburiyatlarning bajarilishini ta’minlashda muhim ahamiyatga ega.
248,326,https://my3.gov.uz/ru/service/326,https://my3.gov.uz/uz/service/326,https://my3.gov.uz/y3/service/326,Переоформление лицензии на деятельность таможенного склада,Божхона омборхонаси фаолияти учун лицензияни қайта расмийлаштириш,"Переоформление лицензии на деятельность таможенного склада может потребоваться в случае изменений в деятельности или параметрах склада. Заявители должны строго соблюдать требования и процедуры, установленные законодательством для переоформления лицензии.",Bojxona ombori faoliyati yoki parametrlari o‘zgargan taqdirda bojxona ombori faoliyatini yuritish uchun litsenziyani qayta rasmiylashtirish talab qilinishi mumkin. Ariza beruvchi litsenziyani qayta rasmiylashtirishda qonun hujjatlarida belgilangan talab va tartiblarga qat’iy rioya qilishi shart.
249,325,https://my3.gov.uz/ru/service/325,https://my3.gov.uz/uz/service/325,https://my3.gov.uz/y3/service/325,Подача заявления на получение государственной субсидии на ипотечный кредит,Ипотека кредитига Давлат субсидиясини олишга ариза бериш,Государственная субсидия может значительно снизить размер ежемесячных платежей по ипотечному кредиту и сделать жилье более доступным.,Davlat subsidiyalari ipoteka to'lovlarini sezilarli darajada kamaytirishi va uy-joyni yanada arzonroq qilishi mumkin.
250,324,https://my3.gov.uz/ru/service/324,https://my3.gov.uz/uz/service/324,https://my3.gov.uz/y3/service/324,Подача заявления на получение разрешения на добывание диких животных,Ёввойи ҳайвонларни тутиш учун рухсатнома олишга ариза юбориш,"Получение разрешения на добычу диких животных имеет целью обеспечение устойчивого использования природных ресурсов и охрану дикой природы. Заявители должны строго соблюдать требования и правила, установленные законодательством в отношении такой деятельности.

",Yovvoyi hayvonlarni tutish uchun ruxsatnoma olish tabiiy resurslardan oqilona foydalanish va hayvonot dunyosini muhofaza qilishni ta’minlashga qaratilgan. Ariza beruvchilar bunday faoliyat bilan bog'liq qonun hujjatlarida belgilangan talab va qoidalarga qat'iy rioya qilishlari kerak.
251,323,https://my3.gov.uz/ru/service/323,https://my3.gov.uz/uz/service/323,https://my3.gov.uz/y3/service/323,Получение справки с места учебы студента (ВУЗ),Талаба ўқиш жойидан маълумотнома олиш (олий таълим муассасасидан),"Справка с места учебы обычно содержит информацию о студенте, его академической группе, специальности, текущих оценках или академической успеваемости, а также может включать дополнительные сведения, такие как период обучения и даты посещения. Полученная справка официально подтверждает студенческий статус и академические достижения студента.

","Talabaning o`qish joyidan ma`lumotnomasi odatda talaba, uning akademik guruhi, mutaxassisligi, joriy baholari yoki o'quv natijalari to'g'risidagi ma'lumotlar bo'lishi mumkin, shuningdek, o'qish davri va qatnashish sanalari kabi qo'shimcha ma'lumotlarni o'z ichiga olishi mumkin. Qabul qilingan sertifikat talabaning talaba maqomi va ilmiy yutuqlarini rasman tasdiqlaydi."
